,revenue
654,553198
2372,129540499
2553,3721911
2668,148868835
236,5600000
2888,21750000
160,113783
896,114194847
893,13000000
338,27610873
2923,16209459
1343,20256975
1229,215283742
1419,1179676
810,363889678
1548,500000
1129,2850263
2732,485772
2957,35431113
2609,3919254
2015,136000000
2621,28733290
194,744816
2284,68000000
2792,77628265
473,23000
2222,50000000
1587,15556340
951,20080020
2416,6341684
81,11588205
2862,1268793
1104,3342697
1572,76000000
517,123726688
174,29007412
183,17555141
1526,63781810
578,12434778
2147,33395426
1004,4235151
1199,416498
2167,362000072
2454,44000000
625,146900000
2964,589244
428,1258000
2169,23800000
2194,93282604
2760,13380561
2784,34967437
385,229736344
2669,346079773
1985,105097
1313,49100000
1193,598645
2238,5820015
2495,3200000
2145,22433275
2741,2725258
1290,12308521
92,15000000
2353,13000000
2398,20275812
1868,630161890
2559,38862717
961,933959197
1515,84785914
1858,7096000
245,18755936
2486,93945766
1454,31670620
2939,120000
2304,390493908
2558,48428063
26,13835130
2984,116643346
2030,112892319
738,37279439
2770,1405403694
329,384335608
2357,662845518
2465,6928068
2334,22896728
2200,280000000
1392,471222889
1184,307166834
713,10166502
562,196482882
1737,120620
2084,5844868
2950,114908830
2339,7100000
749,84565230
1338,7070330
1936,14051384
2914,29918745
2046,5363000
1907,112462508
813,21000000
1801,9247881
1319,495303
1560,760883
2742,100914445
1207,51881013
376,100491683
1308,3646994
1087,72778712
751,113244290
1038,245623848
2466,26250020
1708,48668907
1097,80000000
286,276921998
1249,419651413
1736,23507567
108,18535191
1119,35287788
1237,4491986
285,1614266
1166,8500000
1341,196114570
821,2600000
1176,25005257
1171,54819301
2118,10011050
430,3400278
2468,14048372
1878,53086
1435,15520023
123,91036760
109,34562222
60,599045960
1567,22179430
412,97594140
1263,4627375
1791,15298355
1410,3500605
466,270000000
2774,6700000
2410,18599102
2756,41597830
2835,21409028
1447,3000000
2776,7563728
2411,223664608
2027,2640850
2567,41000000
2082,2506446
945,43650785
69,158468292
1771,16700000
2931,36754634
426,18197398
9,18750246
2587,41480851
277,164000000
2932,20000000
2111,361832400
401,6000000
2190,2270000
1432,205298907
1603,17280326
2377,92991835
934,171539887
2723,3566637
1498,240159255
2287,1500000
1262,2970
378,19478106
143,382174
2106,1103757
1463,7022209
932,159055768
550,97837138
828,7266209
953,73244881
496,3600000
1094,194168700
1877,41296320
1403,44352417
1681,81452156
1467,57120318
1591,53208180
2783,102244770
803,32056467
2687,390659
1471,102308889
1475,37170057
2280,3696232
1426,107196498
1267,46488
1631,34533783
2324,132274484
2925,142817992
816,41205099
2007,2610000
1241,52293982
1959,500000
1292,11203026
2490,6
201,3916303
2397,309492681
717,14683921
259,140021
1642,333011068
229,2474000
2109,502758
516,6000000
1057,187361754
1809,163794509
2124,77068246
1149,2750275
1735,920100000
363,25762027
2309,26589000
2523,3661757
858,558000
1486,10736401
2780,64350171
2606,176885658
1079,6860853
1530,47410000
2180,156822020
1588,23083334
1958,389503
2858,461983149
2961,125728258
2303,53267000
1195,94882889
2338,100853753
2983,791830
1883,17137302
156,8262833
2343,2400000
1211,871279
2252,108047131
2513,12000000
1517,14000000
2132,99965753
848,18000000
2812,282358
2578,2200000
676,60700000
1030,21107746
155,109862682
736,30000000
254,34659
809,220021259
2772,3324330
1528,21026290
1390,68106245
2154,9713500
3,16000000
1500,408247917
339,2200000
1731,4900000
2152,20342161
1910,372234864
2058,347434178
2525,30002758
2390,10000000
1650,63463
1916,39673162
2108,161451538
12,356296601
1095,352194034
567,36893721
70,21126225
777,331957105
1722,51070807
2724,32721635
267,3151130
1635,13273595
576,48878502
2997,89456761
975,39300000
1005,151493655
173,2807854
2475,373552094
2574,3251794
423,29657751
965,36400360
988,134095253
2562,1028570889
613,16980098
2242,132820716
1296,33000337
2778,190320568
1218,3218666
315,113020255
588,5000000
1777,13308
2698,2387127
1976,52099090
820,9221
923,191125
1848,72070731
2019,69307224
599,42930462
1647,78054825
2066,20908467
989,1675706
1152,50750000
1501,26828365
519,28258060
633,330579719
785,764083
494,7306
1711,9318
2509,3453043
557,22456509
2666,54674226
2971,15379253
1965,7936012
2838,25442939
2633,37664855
1021,108000000
2720,35150960
1792,8349430
490,1725381
2662,500000
925,75143
2143,15179302
1564,35485608
2265,500000
1246,40272135
2069,143000
1056,107559
324,5669831
649,192452832
198,12372410
2482,56681566
459,25405445
877,38502340
1482,62022014
2002,59217789
2863,8434146
1762,119500000
603,53478166
1118,107879496
274,250821495
868,108539911
1703,3867000
1029,157387195
2447,231411584
2660,30471420
2441,14418922
2547,585349010
1345,149295601
2557,7011317
780,3305592
1536,16002420
1980,4417580
1656,62000000
2480,18800000
2712,18564088
96,3358
949,8475466
1649,2697930
2912,2616503
2014,392000694
1293,151161491
468,318982
272,46044400
433,147845033
933,174822325
1582,12000000
986,19738015
1505,16374328
1050,29762011
1183,8303261
1297,1238080
542,40002112
2233,55583804
916,28451622
180,31148328
869,28000000
2607,25900
2318,33208099
311,12250
453,12534961
825,15992615
1938,20211394
1417,176997168
1019,6272403
2520,90614445
1913,1548955
1157,7339398
618,27092880
526,17425000
54,46069568
398,75505856
515,21133087
766,24719215
1321,128905366
822,170128460
2733,48093211
2272,1007962
881,1025491110
677,777423
679,8750000
522,28883511
1386,9450897
2230,9132000
2664,55707411
2849,16810383
372,91753202
2226,8000000
421,40996665
2172,133000000
2489,40120144
709,10400000
552,141591324
2478,68729358
2101,1332231
1680,900000
1733,34100000
2401,37000000
1798,34725000
288,23510601
489,609524
1040,5446000
1836,73174566
1730,1440000
85,152022101
2857,6500000
1927,62000000
1375,41627431
585,310000000
791,222300000
804,135680000
