,budget,popularity,runtime,revenue,rating,totalVotes
0,14000000,6.575393,93,12314651,5,482
1,40000000,8.248895,113,95149435,6.4,1528
2,3300000,64.29999,105,13092000,8.4,7314
3,1200000,3.174936,122,16000000,7.5,115
5,8000000,0.743274,83,3261638,5.1,8
6,14000000,7.286477,92,85446075,5.9,846
9,6000000,4.672036,91,18750246,6.9,107
10,1000000,14.774066,119,117235147,7.7,3388
12,15000000,20.726578,122,356296601,8,6016
13,53000000,13.314233,118,95226116,5.4,429
14,102000000,20.666063,145,358372926,7.3,4272
15,500000,1.018477,97,198,5.9,22
16,26000000,6.336927,85,57891803,6.2,807
18,8000000,6.496259,96,1749457,6.3,348
19,32000000,11.359659,87,85167639,6.2,1651
20,80000000,12.000579,130,136159423,5.2,584
21,4000000,7.99229,95,36690067,5.7,480
26,10000000,4.305735,110,13835130,7.1,110
27,11000000,10.841891,93,7847000,6.7,1095
28,6000000,6.759181,84,5849647,7,192
29,45000000,7.81862,89,94935764,6.1,466
30,13000000,16.086919,112,426480871,8.2,9202
32,90000000,13.412445,106,146936910,5.8,2057
34,140000000,9.718111,91,258022233,6.2,1343
35,30000000,8.234382,94,40346186,6.3,1158
37,50000000,13.676444,127,189859560,6.4,801
39,3800000,3.055936,123,14873,6.5,56
41,3000000,9.718713,126,16217773,7.8,593
42,25000000,2.971999,108,24362772,4.6,55
43,6000000,9.383088,92,1020921,5.9,138
44,15000000,5.615303,88,47175038,6.5,490
45,3906840,2.382068,95,4300000,6.2,41
46,80000000,16.646029,91,660940780,6.6,5358
47,44000000,20.328822,167,155760117,7.7,7425
49,38000000,8.105708,118,120000000,6.5,630
50,560000,1.572904,102,1500000,6.8,18
51,12000000,4.473327,160,25333333,7.4,100
54,20000000,8.759801,107,46069568,5.8,410
57,125000000,17.038824,125,238207122,4.2,2474
59,14000000,3.909079,95,25482931,6,65
60,150000000,23.065078,144,599045960,7.4,5654
61,4000000,1.801071,105,14400000,6.4,34
63,5000000,7.743144,100,14000000,4.8,338
64,12000000,11.160699,115,17654912,7.5,912
65,1500000,8.822276,92,11806119,6.7,632
66,12000000,5.145185,108,204940,5.8,157
68,2000000,14.284787,129,13129846,8.1,1214
69,85000000,2.238808,104,158468292,6.2,2897
70,29000000,12.092096,103,21126225,6.9,686
72,11000000,8.290384,85,8266343,6.4,656
74,445000,2.482536,84,2300000,5.5,13
75,17000000,9.665251,106,24922237,6,970
76,500000,0.660663,157,500000,6.9,13
77,6000000,10.451986,98,39846344,6.7,541
79,1500000,6.636625,102,779820,5.3,343
80,15000000,4.98408,118,9237470,6.4,129
81,10284523,4.349046,104,11588205,5.8,123
82,43000000,10.947957,104,91974818,6.5,961
83,28000000,7.482865,116,40400657,6.7,409
84,2000000,10.239941,85,13101672,5.2,175
85,50000000,7.260574,109,152022101,5.2,350
86,8000000,9.741644,105,106260000,7.5,869
87,7500000,12.314278,91,32392047,6.6,379
88,20000000,13.655178,126,13162475,7.4,642
90,30000000,25.261865,111,180949000,7.9,8638
92,35000000,1.690768,135,15000000,6.4,53
94,15000000,18.184056,147,20117339,7.8,2721
96,2500000,2.942355,98,3358,6.1,63
98,10500000,11.003515,90,23000000,5.8,242
99,6000000,5.529808,120,46616067,6.5,164
100,7000000,7.958502,91,9229401,5.9,105
101,60000000,11.93646,135,313542341,7.8,5061
105,10900000,13.454169,105,16505460,7.2,390
106,31000000,6.523155,105,15134293,6.3,145
107,72000000,20.755149,177,210000000,7.9,5162
108,14000000,3.873796,97,18535191,6.4,86
109,15000000,3.210693,189,34562222,6.4,17
110,75000000,13.136791,123,67631903,6.2,475
111,35000000,5.093704,111,22034832,5.3,184
112,100000000,11.696923,122,93820758,6.6,2022
113,20000000,4.619593,106,51684798,6.4,101
114,93000000,32.070725,178,871368364,8.3,13552
115,25000000,5.00725,86,41604473,5.5,170
119,12716953,6.183021,113,18814720,6.2,230
120,90000000,8.345985,90,347325802,6.5,1797
121,150000000,12.453452,88,448000000,7.4,3304
122,1500000,1.961208,94,5585154,5.3,27
123,25000000,8.369176,115,91036760,5.9,511
124,7500000,16.376657,95,60722734,7.2,5174
125,40000000,14.622493,125,7400000,6.8,73
127,10000000,7.886926,111,12008642,6.5,491
128,18000000,9.929809,100,46201432,4,312
129,2400000,5.230661,120,5731103,7.1,17
130,4000000,10.130541,90,9800000,6.6,240
131,6000000,8.278079,93,5206,5.5,86
133,65000000,11.73956,95,211780824,6.3,2784
134,10000000,11.840495,100,33000000,6.2,342
135,2000000,1.372493,90,300000,6.9,24
137,9000000,8.888278,79,4350774,6.3,54
139,110000000,0.913096,133,407711549,6.9,5704
140,14320000,0.585397,176,14000000,6.3,12
142,3500000,5.353826,108,615816,5.8,174
143,18000000,6.675032,98,382174,4.7,98
144,4000000,6.216637,108,11000000,7.5,186
147,39200000,14.131906,126,86758912,6.8,4458
149,25000000,5.405958,113,432274,5,99
153,4000000,10.200398,91,52425855,4.4,1328
155,20000000,8.759774,72,109862682,6.2,655
156,3500000,0.768181,126,8262833,5.4,22
158,63600000,6.047757,102,19412993,4.9,243
159,32000000,7.54701,107,18552460,6.3,679
160,3500000,4.456904,98,113783,6.7,38
162,125000,10.850569,90,3200000,6.6,185
163,9000000,5.997054,93,17096053,7.5,1099
164,40000000,9.825841,99,62771059,5.5,351
167,19000000,10.966015,122,144216468,6.4,1231
168,5000000,6.501177,113,41833347,6.9,197
169,2000000,11.189831,95,24600832,7.4,1567
172,3500000,8.55931,121,12000000,6.7,53
173,11000000,8.929393,98,2807854,5.5,297
174,12468389,6.116093,97,29007412,5.9,226
175,38000000,1.406181,106,207283925,6.7,5085
176,90000000,5.496624,91,14828081,4.9,153
178,15000000,14.778884,93,125212904,7.3,2572
179,32000000,11.137888,133,156167015,6.1,848
180,30000000,5.844016,130,31148328,6.4,387
183,6000000,9.534232,141,17555141,7.3,492
184,82500000,9.796552,107,237681299,6.1,3655
185,14000000,1.36737,93,161001698,6.8,4
186,5000000,3.172765,95,3833507,6.9,68
187,259000,0.722511,65,921000,6.8,11
188,180000000,16.088366,98,521311860,8,10057
190,4000000,5.263187,86,16675000,5,172
191,40000000,7.271503,110,79700000,5.9,1052
194,4500000,3.311392,97,744816,6.4,44
196,7000000,0.861473,87,136203,4.4,15
197,60000000,12.915358,108,77920346,5.9,341
198,24000000,3.69298,107,12372410,4.8,70
199,12600000,11.695036,106,19054534,6.7,1171
200,85000000,10.254314,97,144000000,5.9,570
201,10000000,11.509677,100,3916303,5.4,155
202,55000000,7.713231,91,110000000,5.8,378
203,75000000,14.302911,87,527068851,6.9,4195
204,3200000,6.174699,94,10000000,5.4,115
205,2000000,5.396271,97,2801508,5.6,124
207,15000000,7.024227,92,66000000,5.3,274
209,100000000,8.140709,136,108103450,6.5,502
210,22000000,7.145784,105,26570463,5.4,235
211,7000000,19.726114,124,470654000,7.6,4541
213,6700000,1.312833,143,31000000,5.9,39
214,20000000,13.132127,105,1969193,6.4,526
215,35000000,7.321172,111,173965010,5.7,2077
216,35000000,6.493765,90,83061158,7.1,146
217,10000000,11.341505,106,85300000,6.6,384
219,2600000,2.203949,105,3166000,8,25
220,12000000,7.216103,132,10652498,7.8,80
222,5000000,1.608163,98,31649,5.5,17
223,49000000,16.628427,127,352927224,6.7,1447
226,50000000,7.668829,105,28931401,5.3,909
227,7500000,8.593196,100,26096852,7,676
228,6244087,11.722424,145,638641,7.8,452
229,14000000,1.596058,139,2474000,5.2,14
230,110000000,7.825072,120,72178895,5.8,1192
231,800000,0.941994,114,1001437,6.2,10
234,30000000,21.791111,140,8574339,6.2,1292
236,15000000,3.450402,87,5600000,5.1,106
238,22000000,11.945397,127,505000000,7.1,2557
239,20000000,5.270187,118,57588485,6.3,166
241,70000000,6.660309,88,18662027,5.8,61
245,19000000,9.106146,109,18755936,6.1,536
246,23000000,14.13488,101,351583407,6.8,4782
247,18339750,7.69224,156,92180910,7.8,1630
248,102000000,9.646208,99,147080413,6.2,1391
249,7920000,11.162277,140,14560084,7,228
250,12560000,4.052991,105,42700000,6.4,168
251,98000000,7.284477,119,10017322,5.8,219
252,8500000,6.57613,104,5001655,5.1,163
254,11178,0.079287,104,34659,8,1
255,9500000,5.847166,88,7800000,6.4,432
256,55000000,10.758754,121,203427584,6.7,2725
257,1000000,1.157582,89,9000000,5.6,30
259,24554,0.154526,95,140021,7.9,6
261,50000000,11.511424,99,87528173,5.7,846
263,10000000,2.849779,99,14000,5.9,98
265,15000000,10.271871,135,13060843,7.4,1085
266,15000000,15.423538,148,56255142,7.8,5337
267,27000,10.513367,92,3151130,7.4,1197
268,40000000,8.778999,93,23937870,5.1,365
270,21000000,8.425361,99,72417394,6.4,455
271,72500000,6.936688,116,162966177,6.3,745
272,12000000,5.845712,94,46044400,5.7,172
273,50000000,12.285545,87,83761844,5,328
274,65000000,10.237996,119,250821495,6.5,1519
276,2915739,0.558002,132,14000000,5.6,7
277,70000000,18.324219,98,164000000,5.7,575
279,65000000,13.455112,120,217764291,7.1,2362
281,30000000,14.811958,95,66486080,6.5,3831
282,12000000,1.575026,100,12902790,5.9,16
283,19000000,4.249948,130,23550000,6.5,138
284,7000000,7.45279,109,48126384,7.3,1673
285,25000000,3.596317,95,1614266,5.5,61
286,9000000,28.920839,117,276921998,7.2,9418
288,24000000,11.269558,110,23510601,5.3,107
289,28000000,13.856199,87,11373501,6.2,213
290,6000000,8.990345,117,254700832,6.7,1175
291,16000000,12.153493,99,5367030,6.6,313
292,65000000,10.543955,137,163442937,7.4,2112
294,160000000,26.628178,137,653428261,6.8,7087
296,60000000,4.924078,104,52322400,6.4,349
297,25000000,8.364587,101,56489558,5.8,360
298,3000000,1.739182,89,9563393,5.1,28
299,9000000,1.80809,94,26055,6.2,39
300,11000000,15.750026,96,48572000,6.6,1465
301,225000,1.533379,87,2850000,7.6,5
305,100000000,14.922399,167,193772504,7.2,3214
306,100000000,12.36223,101,100086793,6.4,905
307,108000000,19.94393,129,22678555,6.2,723
308,30000000,4.902869,104,21800302,5.1,95
309,26000000,7.867999,97,110230332,6.2,1827
310,15000000,10.445867,96,8459458,5.9,876
311,9500000,8.59498,168,12250,7.8,329
312,16000000,1.758079,97,12,4.5,13
314,175000000,19.148182,109,350170057,6.7,2354
315,55000000,11.672394,141,113020255,7.5,1956
316,60000000,10.271517,88,118338361,6.4,538
317,115000000,15.232738,109,286140700,6.4,5120
318,20000000,9.570657,126,27793200,6.9,238
319,12000000,10.312017,113,68706993,7,651
321,85000000,14.170183,106,183018522,5.8,1937
322,135000000,23.501228,156,532950503,7.4,10268
323,90000000,9.112008,100,161626121,6.7,798
324,12000000,7.569698,83,5669831,5.3,32
325,71000000,9.439079,85,294456605,5.5,1441
326,26000000,10.177303,102,116400000,6.6,310
327,40000000,8.062578,108,60965854,6.5,1267
328,15000000,4.582024,117,20529194,6.2,122
329,100000000,15.088318,108,384335608,6,2554
331,23000000,10.861339,139,5837674,6.7,72
332,5000000,6.226054,97,346592,5.9,130
335,25000000,9.453942,124,38307627,6.8,338
336,75000000,17.852022,115,117698894,7.4,9266
338,30000000,9.783762,118,27610873,6.5,466
339,11000000,2.27258,124,2200000,6,27
341,27000000,12.235391,115,60527873,6.3,571
344,60000000,11.234862,105,50549107,6,1612
346,36000000,14.575883,97,87416021,7.1,3037
348,1000000,11.267366,117,3301446,7.9,1328
349,350000,2.96237,85,3515061,7.1,90
350,110000000,13.1984,107,121790373,6.7,2441
351,7200000,12.00491,120,116019547,6.4,867
353,7000000,2.483032,93,10229331,5.1,44
354,20500000,8.333526,102,10089373,5.6,501
356,130000000,8.946243,124,119269486,5.8,668
357,45000000,21.605761,89,788241776,8.2,9427
358,75000000,7.970031,99,14567883,6.1,314
359,65000000,12.738789,136,93525586,6.8,2048
361,2200000,1.132835,154,9700000,6.8,26
362,3300000,4.445867,120,5249225,6.9,23
363,15400000,8.400049,123,25762027,7.2,711
364,90000000,11.3569,157,60289912,7.5,767
365,7000,7.15307,77,424760,6.9,1017
366,12000000,7.88371,99,101332962,6.3,337
369,3300000,5.840554,83,64110728,5.1,776
371,13100000,1.417392,140,4100000,5.3,28
372,40000000,11.185625,106,91753202,6.1,668
373,4500000,6.583161,97,10609321,7.5,447
374,500000,2.884359,97,17000000,5.4,48
375,16000000,6.918821,112,17374595,6.3,220
376,30000000,5.154373,79,100491683,5.8,251
377,14000000,7.495853,115,5080409,7.6,688
378,35000000,11.836827,76,19478106,5.3,408
380,100000000,12.477872,143,170877916,7.5,3634
381,74500000,5.300303,109,62172050,7.1,392
382,8000000,5.137903,98,2000000,6.7,106
384,55000000,10.571434,163,100230832,6.8,753
385,25000000,10.19853,90,229736344,6.2,1335
387,36000000,2.151436,189,1345903,6.1,17
388,20000000,4.850968,85,2128186,4.9,214
389,75000000,9.409379,106,195745823,6,1517
391,7075038,10.181,140,9868942,7.3,125
393,60000000,7.898202,89,129832389,5.7,1082
394,18000000,6.693055,95,72179579,6.2,242
398,40000000,15.228794,112,75505856,7.3,1275
399,13000000,5.305311,95,7820688,6.6,233
400,30000000,9.378926,98,58405313,5.9,232
401,3000000,0.904409,155,6000000,7.2,23
405,17000000,7.417157,100,125586134,5.8,1231
406,30000000,11.781895,102,14110589,5,253
407,19000000,7.923639,125,6682098,6.6,288
408,10000000,15.109261,90,40485039,6.7,696
410,18500000,21.761179,137,183316455,7.9,4812
411,87000000,7.851669,141,148336445,6.9,380
412,28000000,7.598422,115,97594140,7.1,1340
413,800000,0.170979,83,966214,5.6,5
414,65000000,7.446085,83,179379533,6,2797
415,60000000,14.039655,116,149705852,6.2,348
418,2000000,14.379879,100,4601043,6.4,687
419,3750000,0.597058,155,5000000,6.1,24
420,30000000,11.43256,94,151119219,7.5,3650
421,19000000,6.701138,91,40996665,5.8,255
422,2900000,10.92143,90,296557,7.2,290
423,26000000,7.254242,111,29657751,6.3,654
424,9000000,1.139949,100,706000,6,17
426,6000000,5.414213,89,18197398,4.4,189
428,810000,3.099222,106,1258000,6.9,56
429,40000000,16.94556,130,109676311,8.1,7572
430,10000000,6.737797,116,3400278,6.4,642
431,13000000,12.994939,113,96060858,7.5,3568
432,16000000,2.488424,113,109130,5.7,67
433,57000000,9.958406,123,147845033,5.8,683
434,13000000,6.862146,104,11130889,6.2,172
437,40000000,8.739991,88,160583018,6.2,1594
438,7000000,6.924072,108,50888000,6.8,243
439,762241,4.860265,140,285930,7.4,185
440,110000000,12.904677,102,337580051,6,3638
444,10300000,6.165491,120,47748,6.6,154
446,14000000,8.226,97,875386,5.4,169
447,30000000,14.404764,89,254134910,6.1,1399
448,85000000,12.173291,124,315156409,6.3,1319
449,80000000,4.980191,110,5989640,4.7,175
450,23000000,5.950792,111,12,6.2,275
453,5000000,6.546551,93,12534961,5.5,252
456,1288000,8.590813,130,6000000,7.9,592
457,250000,0.003013,82,340147,6.5,10
458,18000000,6.344961,94,88923251,5.7,555
459,7000000,6.950458,104,25405445,6.8,1356
461,22000000,9.627676,110,147880543,6.2,873
462,90000000,14.374866,150,171120329,7.3,2059
464,3000000,2.428279,100,15369573,4.7,34
466,17000000,11.673366,99,270000000,6.7,1662
467,16500000,6.463883,108,13620075,6.4,541
468,16000000,12.260159,100,318982,6,527
470,2000000,0.079856,120,1672730,5,2
471,35000000,23.947351,100,459270619,7.2,9759
472,19000000,8.560694,99,174999005,6.4,409
473,15000000,1.652275,99,23000,5.8,8
474,25000000,4.037707,85,6500000,5.5,15
476,18000000,2.471038,100,6375979,6.3,17
477,3200000,5.510288,100,4267218,5.9,169
478,20000000,6.679168,92,22165608,5.4,256
481,10500000,1.970481,149,9400000,4.7,32
482,48000000,4.556123,132,35743308,6.5,188
483,13500000,3.531089,129,187674,6.2,66
485,25000000,5.481452,122,15478800,6.5,216
486,60000000,7.685548,170,186883563,6.8,542
487,4500000,1.833185,65,3468423,6.4,27
488,9000000,27.756026,104,108782847,6.6,3510
489,250000,1.924535,85,609524,6,23
490,590235,8.888393,92,1725381,7.8,911
491,35000000,5.80986,92,63215872,6.1,357
492,12000000,8.435294,95,66351,5.8,336
494,2000000,2.300459,97,7306,6.2,41
495,25000000,10.323838,99,11838218,5.7,45
496,2800000,12.560942,80,3600000,5.6,125
497,15000000,18.451321,84,44065653,5.7,390
499,80000000,11.760218,89,473226958,6.7,2925
501,57000000,11.82081,123,52034889,6.1,559
503,25000000,4.558992,128,13071518,6.9,112
505,10000000,5.3584,109,10759,6.6,203
506,25000000,10.510245,104,6673422,5.3,199
507,60000000,8.462364,131,102367405,6.3,639
508,60000,10.621362,84,3221152,7.1,1025
509,6500000,9.312354,89,13865435,4.8,486
510,910000,18.211093,108,9600000,8.1,625
511,22000000,9.863789,100,194647323,7.2,1337
513,27000000,8.907074,99,101646581,5.7,451
515,12000000,5.875606,99,21133087,6.7,524
516,2000000,0.570021,156,6000000,5.6,8
517,15000000,11.85302,123,123726688,7.9,5974
518,149000000,294.337037,141,820580447,7.3,11614
519,32000000,8.074218,137,28258060,7.1,1214
520,30000000,8.142166,108,18195610,6,239
522,10000000,7.412826,105,28883511,7,1998
523,13000000,11.14704,220,122700000,7.6,538
525,4000000,6.780752,99,25345000,6.2,233
526,20000000,8.34835,109,17425000,6.2,1082
527,62000000,6.258666,87,41819064,4.2,366
528,78146652,9.097953,125,60000000,5.9,325
529,28000000,6.053567,103,38159905,6,1028
530,4100000,3.826281,135,36000000,6.5,82
532,18000000,6.41742,107,9697739,5.8,84
533,40000000,9.034929,107,126248813,6,1856
534,4000000,4.661689,105,46474,6.2,118
535,45000000,11.221186,160,9323833,6.3,167
536,3000000,0.527297,113,19184015,5.3,3
537,75000000,13.249824,136,335062621,7,2179
538,48000000,14.788987,127,474171806,7.8,4994
540,150000000,11.30428,111,128388320,5.9,1601
541,6900000,6.8652,102,7993039,7.5,907
542,65000000,11.023042,100,40002112,5.2,666
543,79000000,29.423537,179,926287400,8.2,11696
544,8000000,0.537378,149,20000000,6.7,23
545,5800000,0.906143,95,7000000,3.9,17
546,30000000,11.066473,125,105834556,6.8,560
547,3500000,5.732016,93,16324573,6,131
548,9000000,10.182974,99,81705746,5.9,1310
550,13000000,9.142772,81,97837138,6.8,1760
551,49000000,30.206365,120,104399548,6.7,4731
552,40000000,10.939066,98,141591324,5.9,1084
554,14500000,9.298092,108,95789342,7,167
557,8500000,5.590678,96,22456509,5.4,122
558,23000000,7.528276,106,46152411,7.2,1114
559,2700000,10.246132,118,37799643,7,97
562,75000000,11.134888,99,196482882,6.7,3734
563,20000000,8.066726,100,36606743,6.4,1688
566,12000000,4.73816,167,7900000,6.9,123
567,40000000,6.322435,91,36893721,5.5,578
568,12000000,10.159713,100,17768012,5.5,284
569,18000000,4.29831,118,3900000,6.3,41
570,5000000,17.656951,113,82719885,7.2,3040
571,7000000,11.00913,89,16829545,6.1,554
572,80000000,9.554067,117,74901339,6.3,753
573,1000000,3.374229,97,10013424,6.1,93
574,35000000,10.754139,123,211952420,6.4,1688
576,16000000,8.899418,96,48878502,6.4,529
578,16000000,14.906621,114,12434778,6.8,340
582,20000000,9.351557,135,4001121,6.7,315
583,19000000,15.339153,108,25836616,6.9,2775
585,10400000,8.792104,161,310000000,8.1,316
586,1500000,0.446454,162,4400000,9,2
587,40000000,0.75571,107,312242626,5.9,1749
588,90000,0.837849,72,5000000,6.3,9
589,28000000,5.01752,134,5684789,7,163
592,6000000,7.903956,109,44703995,7.4,1683
593,3000000,11.30324,108,11176469,7.4,955
596,8000000,10.434018,120,21028755,6.8,367
597,8000000,5.320117,102,100523181,7.6,3214
598,13000000,5.169999,110,1151330,6.5,86
599,35000000,13.542675,112,42930462,5.9,1446
600,15000000,20.301019,110,356830601,6.8,2912
601,12000000,7.607052,100,60273173,5.6,203
602,65000000,10.90061,132,117487473,6.8,1526
603,16000000,12.069966,97,53478166,7.5,3508
604,5500000,6.389326,109,26414658,6.6,186
605,100000,5.113205,193,11000000,6.4,193
608,700000,2.819298,77,31576,5.9,56
610,12000000,7.075534,82,3769990,6.8,203
611,8575000,16.727405,145,1983204,8.3,1077
612,5000000,10.737565,101,8203235,7.5,2201
613,17000000,5.924226,95,16980098,5.6,268
614,6000000,8.522673,158,28900000,7.5,287
617,35000000,10.378902,94,117270765,5.6,577
618,4500000,14.658885,90,27092880,7,516
620,70000000,10.876463,105,177841558,6.3,468
622,10000000,10.754997,109,4073489,6.7,318
623,85000000,9.434006,130,137298489,6.2,1155
624,22000000,8.473369,84,84772742,4.6,529
625,15000000,14.319743,212,146900000,7.7,1101
627,16000000,5.127876,142,29251596,6.2,112
628,6000000,7.873407,116,6174491,6.8,386
630,16000000,12.646518,126,109502303,7.1,752
631,10000000,4.127728,125,1500000,7.1,98
632,15000000,6.600651,110,30102717,5.5,352
633,100000000,19.382082,106,330579719,5.7,5197
635,27000000,14.225919,102,20158808,7.1,1800
637,23000000,7.667579,98,150816700,6.5,1215
638,300000,1.023164,105,1400000,6.8,8
640,50000000,5.716009,146,73956241,7.4,622
641,50000000,10.337994,95,97437106,7.4,1156
642,39000000,7.830087,116,288752301,6.6,1664
643,13000000,2.326115,84,8026971,4.2,16
645,5000000,9.649312,113,1000000,6.8,375
646,50000000,5.768575,128,94000000,6.4,654
647,9000000,14.304205,98,2500000,5.8,228
649,30000000,11.766244,85,192452832,6.9,1151
650,16500000,10.673167,136,135000000,7.4,633
651,5000000,5.839893,107,12232628,6,96
653,20000,3.111281,111,99000,7.3,97
654,2600000,8.623982,92,553198,7.1,495
655,25000000,7.438934,97,22200000,6.3,324
656,11500000,6.514592,99,20079850,6.6,310
658,13000000,8.378149,161,754249,7.3,702
659,7500000,19.561767,93,8135031,5.7,781
660,54000000,20.214422,132,132511035,7.9,7530
661,5500000,4.711231,116,10016934,5.9,143
662,15000000,14.511442,111,16633035,6.7,582
666,250000000,20.644776,161,958400000,7.6,7234
668,6300000,4.38806,101,419953,6,120
670,2650000,4.471515,147,3100000,7.4,109
671,6400000,1.82294,151,5900000,5.9,43
672,6000000,7.510159,107,3485127,6.6,665
673,4200000,8.233168,114,38376497,6.3,330
674,135000000,13.89018,121,76932943,5.1,476
675,10000000,5.024459,77,11411644,6,85
676,28000000,13.570264,103,60700000,6.4,3532
677,25000000,3.643468,117,777423,6.5,29
679,2500000,5.490505,106,8750000,7.3,532
680,125000000,15.049695,124,544272402,6.4,4039
681,25000000,11.109932,99,11000000,7.2,1230
683,26000000,13.003122,91,183293131,5.3,1258
684,160000000,287.253654,129,1262886337,6.9,10470
685,1271000,7.441117,81,3788000,7.2,128
686,40000000,16.453573,114,86234523,6.8,2223
689,113000000,13.165421,140,850000000,7.2,6975
691,35000000,5.370818,102,11560806,5,132
692,30000000,8.587129,108,180622424,6.2,700
693,5000000,13.524048,112,2450846,6.6,482
697,12000000,17.788579,94,265452,5.6,195
698,6000000,11.732546,137,9077700,7.6,824
699,40000000,9.420931,102,124827316,6.2,874
700,25000000,7.409179,94,38748395,6.7,631
701,5000000,15.021058,94,98450062,6.2,2457
702,11000000,18.344227,95,235483004,6.4,3996
703,2053648,2.691433,102,500000,7.9,26
704,85000000,11.057536,167,59908565,6.4,516
705,1000000,17.911314,112,36764313,8.3,2675
706,1200000,2.017413,113,14363400,7.4,37
708,90000000,14.753545,127,206172544,6.1,2698
709,3000000,6.409512,146,10400000,7.5,50
712,40000000,13.876881,120,120455994,6.9,918
713,80000000,14.987902,132,10166502,6.6,131
714,9250000,2.132964,125,29174648,6.9,43
715,22000000,6.303785,108,24188922,6.6,369
717,27000000,1.408176,132,14683921,6.6,58
721,800000,7.137026,94,62852,7,37
723,11000000,4.08938,100,1044824,5.8,24
724,50000000,30.121292,130,709827462,5.7,4795
725,50000000,16.838145,114,71561644,6.4,1599
727,30000000,9.058516,129,219076518,6.1,2011
728,14000000,0.825638,112,16656125,5.9,15
729,103000000,8.18534,102,500188435,6.3,1655
731,4000000,5.032469,108,56666667,7.7,292
733,4000000,6.314697,121,1954937,7.4,509
734,150000000,26.024868,108,1023784195,7.7,9349
735,40000000,12.337898,89,58662452,5.1,508
736,8250000,11.840985,171,30000000,7.1,135
737,8000000,1.194377,91,1893139,6.2,19
738,40000000,14.384554,134,37279439,7.1,2252
739,40000000,15.010525,124,158733820,7.4,4274
742,967686,11.934045,101,4270000,7,589
743,35000000,10.794556,92,39340177,4.6,263
744,12000000,15.297121,96,78868508,6.6,585
745,14000000,11.090265,112,19777647,7.6,499
746,50000,11.329733,103,249905,6,129
747,6000000,9.023686,96,11122090,6.4,1140
749,25000000,7.257679,107,84565230,6,692
750,30000000,6.734065,103,50451307,5.9,297
751,50000000,9.91556,92,113244290,6.4,1601
753,4500000,11.578578,104,58853106,5.9,757
754,6000000,10.505387,97,10409377,7.1,1418
757,80000000,7.210383,88,163733697,5.6,534
759,23000000,9.604552,124,29541790,6.7,429
760,6500000,9.369527,92,24793509,7.2,1050
761,15000000,7.844705,95,59209,5.8,815
762,2000000,9.02255,137,70000000,8.1,1569
763,200000000,26.114917,116,531865000,6.7,8550
765,105000000,7.291872,114,133718711,5.6,1200
